,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
kung pao cauliflower,1 large cauliflower head cut into small floret pieces,2 tablespoons of cooking oil,1 green pepper sliced,1 red pepper slices,"1 leek onion, cut into 2cm sections","3 cloves garlic, minced",1 inch ginger sliced,½ cup roasted peanuts,"3~5 dried chili peppers, cut into small pieces",1 tablespoon Sichuan pepper,½ tablespoon dark soy sauce,1 tablespoon light soy sauce,1 teaspoon salt,1 tablespoon cornstarch,1 tablespoon vinegar,2 tablespoons water,½ teaspoon sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peanut dumplings tang yuan,½ cup peanut,½ cup smooth peanut butter,2 tbsp. sugar,"3 tbsp. butter or lard (for vegan readers, you can use coconut oil)",2 cups sticky rice flour (around 250g),1 cup warm water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tomato meatball soup,250g minced pork (at least 30% fat),2 green onions,1 thumb ginger,½ cup of hot water,pinch of salt,1 egg,¼ teaspoon white pepper,1 tablespoon light soy sauce,1 tablespoon cornstarch (optional),2 tablespoons of cooking oil,"2 tomatoes, cut into wedges","1 small bunch of bean sprouts (around 100g), hard roots removed",1 thumb ginger,Salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sticky rice cake with red bean paste,1 cup glutinous rice flour + more for dusting if needed,½ cup just boiled hot water,½ cup red bean paste filling or other filling,½ tablespoon oil (brushing the pan for frying),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork and chive crystal dumplings,100g Potato Starch,25g Wheat Starch,small pinch of salt,125ml boiling hot water,1 salted egg yolk (smashed for decorating),1 and ½ cups finely chopped Chinese chive,1 cup minced pork,1 egg,1 teaspoon salt,¼ teaspoon pepper,1 tablespoon sesame oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dumpling wrappers,"420g all-purpose flour {(unsifted, dip and sweep) 3 cups} + more for dusting","210ml to 220ml water, room temperature or just boiled hot water (note1)",½ teaspoon salt (2g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese sausages,5 kg pork (lean meat vs fat=7:3),3 meters sausage skin (natural or synthetic),30g salt,"150g rock sugar, well smashed","30g Chinese white spirit (In cantonese cuisine, people love to use rose wine)",20g ground pepper,½ cup light soy sauce (Note1),60g to 75g salt,150g chili pepper powder,50g freshly ground Sichuan pepper powder or whole seeds,"50g rock sugar, well smashed",50g Chinese white spirit,a special sausage stuffing tool or funnel and chop stickers for stuffing the sausage,needle (pricking the sausages to release trapped air),Scissors and cotton lines for tying the sausages,Clean cloth (drying the sausages after hot water washing),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese new year recipes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steamed pumpkin buns two ways,250g pumpkin cubes,"300g all purpose flour, plus more for dusting",a small pinch of salt,2-4 tablespoons sugar,2 and ½ teaspoons instant yeast (2 teaspoons in summer),150g all-purpose flour,1 teaspoon instant yeast,2 tablespoons sugar,150g water or 20ml more if needed,a tiny pinch of salt (around 1.5% of the dough),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lanzhou beef noodle soup,"1 beef oxtail (around 1000g), cut into 2cm thick pieces",250g back bones,250g chicken bones,500g beef shank,2 green onions,"1 thumb ginger, sliced",2 scallion whites,3L water,salt to taste,Noodles for serving,2 star anise,1 small piece of Chinese cinnamon,2 bay leaves,¼ teaspoon Sichuan peppercorn (must),4 cloves,¼ teaspoon whole cumin seeds,⅛ teaspoon fennel seeds,1 cardamom,3 Amomum Cardamomum pods,1 dried chili pepper,1 Amomum tsaoko,1 cup chopped coriander,1 cup chopped garlic leek,half of a daikon radish,chili oil as needed,,,,,,,,,,,,,,,,,,,,,
clay pot rice,1 cup long grain rice,1 cup+ 1 tbsp water,2 sweet sausage,1 cup of sliced cured pork belly,1 thumb ginger,1 tablespoon light soy sauce,1 tablespoon oyster sauce,1 tablespoon seasoned soy sauce,¼ teaspoon sugar,½ tablespoon sesame oil,2 Bok Choy,"4 green onions, chopped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lo mai gai steamed sticky rice in lotus leaf,1 and ½ cup sticky rice (either short grain or long grain),4 lotus leaves,2 tablespoons of cooking oil,1 sweet sausage (lop cheong),1 cup sliced Chinese cured pork belly (lop yok),5 hydrated dried shiitake mushrooms,1 thumb ginger,"2 garlic, sliced",2 green onion (white and green part separated),1 chicken leg (bone removed and cut into small pieces),½ tablespoon light soy sauce,1 tablespoon dark soy sauce,1 tablespoon oyster sauce,salted duck egg yolk (for method 1),pinch of salt,½ tablespoon light soy sauce,½ tablespoon oyster sauce,dash of pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese cured pork belly chinese bacon,"450g pork belly, cut into 4cm long strips",1 cup dark soy sauce,⅓ cup Chinese Shaoxing rice wine,½ cup light soy sauce,"1 thumb ginger, sliced",2 bay leaves,2 star anises,1 teaspoon Sichuan pepper,1 tablespoon sugar,1 small cinnamon barks,2 tablespoons Chinese Baijiu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
youtiao chinese oil stick chinese cruller,2 cups (240g) all purpose flour,1 teaspoon (4g) baking powder,½ teaspoon (3g) baking soda,1 small egg (60g),100g milk,20ml vegetable oil,½ teaspoon salt,oil for deep-frying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pickled daikon skin,2 skins of a daikon,1 tablespoon salt (for pickling),1 teaspoon black vinegar,½ tablespoon light soy sauce,1 teaspoon sugar,½ tablespoon toasted sesame oil,1 handful coriander stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot and sour sweet potato noodles,2 serving sweet potato noodles,2 tablespoons roasted peanuts or deep fried soy beans,"2 spring onions, chopped","a small bunch coriander, chopped",½ cup chopped pickled Sichuan vegetable (zhacai),3 garlic cloves mashed,1 tablespoon peanuts oil,½ teaspoon Sichuan peppercorn powder,½ teaspoon Chinese five spicy powder,1 tablespoon Chinese chili oil,2 tablespoons vinegar,1 tablespoon light soy sauce,1 teaspoon sesame oil,salt to taste,1 cup water for boiling the noodles or hot stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spiced multi layer chinese pancake,300g all-purpose flour,180ml to 190ml Luke warm water,a small pinch of salt,4 tablespoons of cooking oil+ plus more for brushing,Chinese five spice powder or ground Sichuan pepper,2 tablespoons of cooking oil,"2 tablespoons Sichuan Doubanjiang, finely chopped","3 garlic cloves, minced",1 tablespoon oyster sauce,⅛ teaspoon Chinese five spice powder,1 tablespoon sugar,¼ teaspoon black vinegar,2 tablespoon hot water,Toasted sesame seeds,Chopped scallion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese sticky rice with ribs,"1 cup sticky rice, around 200g","200g ribs, 4cm sections","5 dried shiitake mushrooms, hydrated",a small pinch of salt,½ tablespoon light soy sauce,1 teaspoon dark soy sauce,1 tablespoon oyster sauce,⅛ teaspoon sugar,1 thumb ginger,½ tablespoon sesame oil,½ tablespoon Chinese cooking wine,½ tablespoon oyster sauce,1 /2 tablespoon light soy sauce,1 tablespoon sesame oil,Chopped scallion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cheung fun steamed rice noodles,1 cup rice flour (110g),⅓ cup corn starch (40g),⅓ cup+1 tbsp. wheat starch (50g),500ml water,a tiny pinch of salt,1 tbsp. vegetable oil,½ cup chopped shrimp (either dried shrimp or fresh shrimp),⅓ cup chopped green onion,½ tbsp. oyster sauce,½ tbsp. dark soy sauce,2 tbsp. light soy sauce,2 tbsp. water,1 tsp. rock sugar,½ tbsp. sesame oil,Chopped spring onion,Toasted white sesame,Sha Cha sauce or fried shallots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steamed sausage buns lop cheung buns,2 cups all purpose flour,125ml water or 150ml milk (3.5% fat),2 tsp. instant yeast,pinch of salt,2 tablespoons of sugar (optional),1 tbsp. vegetable oil (optional),3 lop cheung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot pot cooker and e cookbook giveaway worldwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
har gow dim sum dumplings,150g deveined unshelled shrimp (pre-soak in cold water for 1 hour),60g minced bamboo (cooked),60g minced pork fat (cooked),1 and ½ teaspoon salt,2 teaspoons sugar,1 and ½ tablespoon sesame oil,⅛ teaspoon white pepper,1 teaspoon starch (potato starch or corn starch),1 cup Wheat Starch (around 120g),⅓ cup Potato Starch (around 40g),160ml boiling hot water (plus 10ml more for adjusting),20ml vegetable oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese sauces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gua bao taiwanese pork belly buns,2 cups all purpose flour,125ml water or 140ml milk (3.5% fat),2 tsp. instant yeast,pinch of salt,2 tablespoons of sugar (optional),1 tbsp. vegetable oil (optional),pickled mustard green (minced and stir-fried),1 cup toasted peanuts,1 tbsp. sugar powder,Coriander leaves,2 fresh thai pepper,2 minced garlic,1 teaspoon minced scallion,1 tbsp light soy sauce,1 tbsp sesame oil,1kg pork belly (skin on),1 cup fried shallots,25g rock sugar,4 tablespoons light soy sauce,3 tablespoons soy paste. (or 2 tablespoons dark soy sauce),4 tablespoons Shaoxing wine,"4-5 garlic cloves, sliced",¼ teaspoon white pepper powder,2 green onions,1 teaspoon Chinese five spice powder,,,,,,,,,,,,,,,,,,,,,
fried shallots,1 cup vegetable oil (peanut oil),2 cups shredded shallots,small pinch of salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coconut buns cocktail buns,300g bread flour,50g sugar,2g salt,1 smaller egg,160g milk (3.5% fat),1 and ½ teaspoon yeast,30g unsalted butter at room temperature,50g desiccated coconut,40g whisked egg,15g baking milk powder,30g sugar,20g melted butter,30g melted unsalted butter,20g cake flour,10g sugar powder,"1 egg, whisked+1 tbsp. water (mix well)",1 tbsp. honey or syrup +1 tbsp. water (mix well),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stuffed lotus root with sticky rice,2 sections lotus root (larger ones),½ cup (40g) sticky rice,50g brown sugar,80g white sugar,2 tablespoons honey or osmanthus syrup,2 red dates (optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vegan dan dan noodles,10 shiitake mushrooms (finely chopped),1 cup finely chopped bell pepper,2 tablespoons cooking oil,1 inch ginger peel and minced,1 teaspoon chili powder,1 cup ya-cai,1 tablespoon cooking wine,1 tablespoon light soy sauce,1/2 tablespoon soy sauce,a small pinch of salt,1/4 teaspoon sesame oil,1/2 tablespoon sesame paste,1/8 teaspoon sugar,1/2 tablespoon chili oil or as needed (refer here for homemade recipe),"1/3 cup hot chicken stock (if not available, use water )",1/4 teaspoon minced garlic,1 tablespoon chopped scallion and coriander,2 serving noodles ( asian yellow alkaline noodle or vegan ramen),10 shiitake mushrooms (finely chopped),1 cup finely chopped bell pepper,2 tablespoons cooking oil,1 inch ginger peel and minced,1 teaspoon chili powder,1 cup ya-cai,1 tablespoon cooking wine,1 tablespoon light soy sauce,½ tablespoon soy sauce,a small pinch of salt,¼ teaspoon sesame oil,½ tablespoon sesame paste,⅛ teaspoon sugar,½ tablespoon chili oil or as needed (refer here for homemade recipe),"⅓ cup hot chicken stock (if not available, use water )",¼ teaspoon minced garlic,1 tablespoon chopped scallion and coriander,,,,,,,,,,,
kung pao lotus root,"400 Lotus root, peeled and cut into 1 cm thick pieces","2 garlic cloves, sliced","1 small thumb ginger, sliced",½ cup of toasted or fried skinless peanuts,"4 scallions, white part and green part separated",6-10 dried chili peppers (change the amount according how hot you wish it to be),2 tablespoons cooking oil,15-20 whole Sichuan peppercorns,½ tablespoon dark soy sauce,1 tablespoon light soy sauce,1 teaspoon salt,1 tablespoon vinegar,½ teaspoon sugar,1 teaspoon sesame oil,1 tablespoon cornstarch,2 tablespoons water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ketchup shrimp,400g shrimp (around 25g middle size shrimp),"1 cup oil, for frying","2 scallions, white part and green part separated",1 tablespoon ShaoHsing wine,1 tablespoon light soy sauce,1 and ½ tablespoon ketchup,½ cup warm chicken broth or warm water,1 teaspoon sugar,salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mapo tofu recipe,450g silken tofu (I am using Szechuan tender lushui tofu),100g minced meat-beef or pork,½ tablespoon sesame oil,"1 and ½ tablespoons Doubanjiang, roughly chopped","½ tablespoon fermented black beans (also known as dou-chi and fermented soya beans), roughly chopped",1 tablespoon pepper flakes or powder (optional),½ teaspoon salt,½ tablespoon Sichuan pepper for making fresh ground powder,1 tablespoon light soy sauce,water or broth for braising (I use 400ml this time),2 tablespoons cooking oil,"2 scallion white, finely chopped","4 garlic greens or scallion greens, finely chopped","2 garlic cloves,finely chopped","5 ginger slices, finely minced (around 1 teaspoon)",1 teaspoon sugar (optional for reducing the spiciness),2 and ½ tablespoon water,1 tablespoon cornstarch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lu rou fan braised pork rice,1kg pork belly (either skin on or skin off),"4 middle shallots, peeled and sliced",1 cup of oil,6 dried shiitake mushroom (pre-hydrated),25g rock sugar,4 tablespoons light soy sauce,"3 tablespoons thickened soy sauce, also known as soy paste. (or 2 tablespoons dark soy sauce)",4 tablespoons Shaoxing wine,"4 hard boiled eggs, unshelled","4-5 garlic cloves, sliced",¼ teaspoon white pepper powder,2 green onions,2-3 trees of Bok Choy,4 star anise,2 bay leaves,10 Sichuan peppercorns (optional),⅛ teaspoon cumin seeds (optional),1 slice of sand ginger (optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,
roasted pork belly with honey,500g pork belly (around 1 pound ),2 garlic cloves,3-4 ginger slices,1 scallion,Honey water for brushing (1 tablespoon honey + 1 tablespoon marinating sauce or water),1 tablespoon honey,1 tablespoon cooking wine,1 tablespoon light soy sauce,1 teaspoon dark soy sauce,1 tablespoon oyster sauce,1 tablespoon hoisin sauce,1/4 teaspoon five-spicy powder,1/4 teaspoon ground white pepper,500g pork belly (around 1 pound),Honey water for brushing (1 tablespoon honey + 1 tablespoon marinating sauce),"2 garlic clove, sliced",1 spring onion,3-4 ginger slices,1 tablespoon honey,1 tablespoon cooking wine,1 tablespoon light soy sauce,1 teaspoon dark soy sauce,1 tablespoon oyster sauce,1 tablespoon hoisin sauce,¼ teaspoon five-spicy powder,¼ teaspoon ground white pepper,,,,,,,,,,,,,,,,,,,,
chinese moon cake traditional version,115g plain flour,28g(around 2 tablespoons) peanut oil or other vegetable oil,1 tablespoon flour for coating the tool,75g golden syrup (homemadeor store bought),2g lye water,"8 salted egg yolks, each 10g",380g bean paste or black sesame filling (25g*8+30g*6),1 egg yolk,1 tablespoon egg white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lotus seed paste,200g dried lotus seeds (without skin),water as needed,80g caster sugar,90g vegetable oil,2 tablespoons of maltose,½ tsp salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
golden syrup invert syrup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fermented sticky rice jiu niang,500g sticky rice (short grain sticky rice is recommended),around 350ml to 370ml cold boiled water (divided),1g koji starter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
braised tofu with chinese mushroom,1 box of regular firm tofu,3-5 dried shiitake mushroom (re-hydrated),"2 garlic cloves, sliced","½ thumb ginger, sliced","2 scallions, cut into 1 inch pieces",¼ cup of oil,1 tablespoon light soy sauce,1 teaspoon dark soy sauce,1 teaspoon rock sugar,½ tablespoon sesame oil,1 teaspoon black vinegar,1 tablespoon oyster sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coconut milk pudding,¼ cup coconut milk (60g),2 pieces of gelatin sheets (10g),¼ cup+3 tablespoons heavy cream (95g),½ cup + 1 tablespoon milk (135g),3 tablespoons sugar (37g),desiccated coconut as needed,fresh fruit as needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese tomato and egg stir fry,2 eggs,2 middle size tomatoes (cut into small wedges),small pinch of salt and pepper (for egg liquid),¼ cup oil,⅛ teaspoon sugar,½ teaspoon salt (or to taste),"1 scallion, cut into inch pieces",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taiwanese salt and pepper chicken yan su ji,2 boneless chicken thigh (around 320g),⅔ cup sweet potato starch (or you can use other starch to replace it ),1 small bunch of basil,oil for deep-frying,1 and ½ tablespoon light soy sauce,1 tablespoon beer,⅛ teaspoon Chinese five spice powder,"3 garlic cloves, finely grinded",1 egg (smaller one),1 teaspoon white pepper,1 tablespoon sugar,2 teaspoon of salt,1 tablespoon white pepper,½ teaspoon Chinese five spice,2 teaspoons salt,¼ teaspoon curry powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese walnut cookie,100g vegetable oil,1 egg,80g sugar,230 cake flour (220g cake flour),¼ teaspoon baking soda,½ teaspoon baking powder,1g salt,"70g walnut (50g), finely chopped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
june and july on table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sesame chinese long beans,250g (around 8 oz),"3 garlic cloves, minced",1 tablespoon light soy sauce,pinch of salt,½ tablespoon vinegar,½ tablespoon sesame oil,¼ teaspoon sugar,1 tablespoon sesame paste,½ teaspoon sesame seeds,water as needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grass jelly cincau,2 packages of grass jelly powder,10g to 20g cornstarch,3-4 tablespoon sugar,1000ml water,2 black tea bags,100ml water,2-3 tablespoon sugar,300ml to 350ml milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vegetarian steamed buns,300g all-purpose flour,3g salt,150-170ml water (adjust the softness),1 and 1/2 teaspoon active instant yeast,300g all-purpose flour,3g salt,150-170ml water (adjust the softness),1 and ½ teaspoon instant yeast,3 cups finely chopped Chinese chive,2 tablespoons sesame oil (divided),2 eggs,30g bean vermicelli (soak in clean water until soft),pinch of salt,¼ teaspoon Chinese five spice powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold tofu liangban tofu,One box of silken tofu,Coriander leaves for decorating,"1 green onion, finely chopped",1 tablespoon light soy sauce,1 tablespoon sesame oil,1 tablespoon water,1 teaspoon black vinegar,2 fresh Thai peppers (you can replace it with chili oil),½ tablespoon toasted white sesame seeds,½ teaspoon sugar,"1 garlic clove, chopped",1 teaspoon minced ginger,"1 green onion, finely chopped","2-3 coriander stem, finely chopped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk bread,"300g (2 and ⅓ cup,without shifting the flour) bread flour",50g (scant 4 tbsp.)sugar,2g salt,1 smaller egg,160g milk (3.5% fat),1 and ½ teaspoon yeast,30g (2 tbsp.) unsalted butter at room temperature,1 egg well beaten + 1 tbsp. water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese steamed ribs with black bean,"500g (around 1 pound) ribs, cut into one-bite pieces",1 thumb ginger,small pinch of salt,2 teaspoons sugar,1 tablespoon Chinese cooking wine or rice wine,1 tablespoon Chines fermented black bean,2 garlic cloves,2 tablespoons cornstarch,2 tablespoons water,1 fresh Thai red pepper,1 tablespoon finely chopped green onion and coriander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pan fried tofu with egg and chive,"1 egg, beaten",3 Chinese chives-finely chopped,pinch of salt and pepper,"1box of regular tofu, cut into 1.5cm thick slices",cornstarch for coating,oil for pan-frying,1 tablespoon sesame oil,1 tablespoon stock or pure water,1 tablespoon light soy sauce,1 tablespoon finely chopped green onion,"1 fresh Thai pepper, chopped","2-3 coriander, chopped",1 teaspoon toasted sesame seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scallion oil noodles,1 cup cooking oil (vegetable oil or lard),"10 green onions (skinny scallion), cut into long segments around 5 cm long",around 400g yellow alkaline noodle or thin ramen noodles,1 teaspoon sugar,1 teaspoon dark soy sauce (optional for darker color),2 tablespoons light soy sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mung bean soup,1 cup mung beans,¼ cup rock sugar,a small pinch of salt,2000ml (rice cooker) to 3000ml (regular pot) water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese cucumber salad,"1 fresh English cucumber (or two smaller ones, around 350g)","3 garlic cloves, mashed",1 tablespoon black vinegar,1 tablespoon light soy sauce,½ teaspoon sugar,½ tablespoon sesame oil,salt to taste,chili oil to taste (1/2 tablespoon recommended),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pan fried chinese buns,250g all-purpose flour or Bao flour (around 2 cups),2 teaspoons instant yeast,150ml milk (with 10ml more for adjusting),2 tablespoons sugar,3g salt,4-8 tablespoons sweet red bean paste,oil for frying (2 tablespoons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese fried peanuts,100g fresh peanuts with skin,¼ cup oil,pinch of salt for garnishing (to taste),1 teaspoon liquor(like vodka),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese edamame,1 pound edamame (either fresh or frozen),water to cover,3 teaspoons salt (to taste ),2 star anises,¼ teaspoon Sichuan peppercorn,1 or 2 dry chili pepper,½ tablespoon light soy sauce (optional for a stronger taste),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zongzi,500g sticky rice,red bean paste as needed (around 1 tablespoon for each zongzi),large bamboo leaves (each around 10cm wide and 45cm to 50cm long) or overnight soaked dried ones,cotton line (twine works better than string for me),kitchen scissor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steamed scallion buns hua juan,300g all-purpose flour,3g salt,150-170ml water (adjust the softness),1 and ½ teaspoon instead yeast,1 cup finely chopped scallion,oil for brushing,salt for sprinkling,Chinese five spice powder (optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mung bean cake,250g yellow mung beans (unshelled mung beans),40g butter,50g vegetable oil,110g sugar or more if needed (you can slightly adjust this amount),a small pinch of salt,5-8g matcha powder (I use 5g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pineapple tarts enclosed version,110g room temperature butter (1/2 cup),10g icing sugar (about 1 tbsp.),20g condensed milk (1 tbsp.+1 tsp.),200g cake flour (1 cup +1/2 cup),100g bread flour (1/2 cup+1/4 cup),tiny pinch of salt,2 egg yolks,"2 fresh pineapples, around 1600g fruit meat",110g rock sugar (1/2cup),tiny pinch of salt,110g maltose (1/3cup),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mini sweet bean paste buns,250g all-purpose flour (around 2 cups),2 teaspoons instant yeast,150ml milk (with 10ml more for adjusting),2 tablespoons sugar,4 tablespoons sweet red bean paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lotus root soup,1 pound pork ribs,1 pound lotus root,"1 thumb ginger, smashed",1 tablespoon dried goji berries,2 tablespoons peanuts,Hot water as needed,Salt to taste,"1 scallion, finely chopped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoisin pork with steamed buns,Pork belly or pork butt (500g around 1 pound),1 tablespoon hoisin sauce,1 tablespoon oyster sauce,½ tablespoon honey,a small pinch of salt,¼ teaspoon Chinese five spice,"half of a middle size red onion, cut into 3-4 pieces",oil for brushing the pan,2 cups all purpose flour,"125ml water, room temperature or 150ml milk",2 teaspoons instant yeast,2 tablespoons sugar,Pinch of salt,"Coriander, cleaned and cut into 1 inch pieces","Pickles, any type and minced",Dip sauce if you prefer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stuffed lotus roots pan fried version,"1 stem lotus root, skin removed and sliced",½ cup minced pork or shrimp,Pinch of salt,1 tablespoon whisked egg,1 teaspoon light soy sauce,dash of pepper,oil for pan-frying,salt and pepper for garnishing,chopped green onion for garnishing,1 tablespoon Chinese red oil,⅛ teaspoon toasted sesame seeds,1 tablespoon light soy sauce,1 teaspoon sesame oil,⅛ teaspoon chopped green onion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bamboo shoots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bok choy stir fry,"4-5 large bok choy (around 2 pounds), remove any yellow pieces and trim the tough ends",½ cup pork belly slices,pinch of salt,2 garlic cloves,around 1 teaspoon of vegetable oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese vegetables leafy greens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chongqing noodles,1 serving fresh noodles (you can use thin dried noodles instead),handful Chinese water spinach or Bok Choy,"2 garlic cloves, peeled and minced","1 green onion, white part and green part separated",1 teaspoon minced ginger,1 tablespoon smashed peanuts,1 tablespoon minced coriander,1 tablespoon minced Zha Cai (optional),1 tablespoon soy sauce,pinch of salt if necessary,¼ teaspoon gourmet powder,2 teaspoons lard,1 teaspoon sesame oil,¼ teaspoon black vinegar,1 to 2 tablespoons Chinese red oil,"⅛ teaspoon Sichuan peppercorn powder (to strong the numbing tastes, optional)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sichuan style pork slices,500g pork belly or hind leg,4-5 ginger slices,1 green onion,½ teaspoon Sichuan peppercorn,"half of cucumber, shredded","5-8 garlic cloves, minced","1 green onion white, minced",1 teaspoon minced ginger,small pinch of salt,¼ cup warm water,3-4 tablespoon Chinese red oil,1 tablespoon light soy sauce,1 teaspoon black vinegar,¼ teaspoon sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese chili oil,7 tablespoons red pepper powder,1 tablespoon toasted white sesame seeds,¼ teaspoon Sichuan peppercorn,1 cup vegetable oil or ½ cup more for adjusting,1 thumb ginger (must),2 bay leaves (must),3 star anise (must),1 bark Chinese cinnamon,3 scallion whites (must),¼ teaspoon Sichuan peppercorn (must),4 cloves,¼ teaspoon whole cumin seeds,⅛ teaspoon fennel seeds,1 Amomum tsao-ko (Cao Guo),3 amomum kravanh (White Dou Kou),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moo shu pork,100g pork tenderloin (around 1 cup sliced ),8 woo shu shells,"2 middle size eggs, whisked",1 handful water soaked wood ear mushroom,1 small bunch of water soaked dried daylily,"Half of a cucumber, sliced","1 red bell pepper, cut into one bite pieces",2 tablespoons cooking oil (divided),"1 scallion, cut into one inch sections",pinch of salt,Fresh coriander (optional),a small pinch of salt,¼ teaspoon minced ginger,1 teaspoon light soy sauce,1 teaspoon sesame oil,2 teaspoons cornstarch,1 tablespoon water,1 tablespoon light soy sauce,¼ teaspoon sugar,1 teaspoon dark soy sauce,1 tablespoon cooking wine,,,,,,,,,,,,,,,,,,,,,,,,,
