,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
peanuts ladoo,roasted peanut,sugar,cardamom,ghee or clarified butter,almond flakes,roasted peanut,sugar,cardamom,ghee or clarified butter,almond flakes,roasted peanut,sugar,cardamom,ghee or clarified butter,almond flakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken kasha,chicken (cut into small pieces),mustard oil,ginger paste,garlic paste,red onion (cut into thin slices),onion for paste,green chili,green chili for paste,turmeric powder,garam masala,jeera powder or cumin powder,salt (as per taste),red chili powder,coriander leaves chopped,chicken (cut into small pieces),mustard oil,ginger paste,garlic paste,red onion (cut into thin slices),onion for paste,green chili,green chili for paste,turmeric powder,garam masala,jeera powder or cumin powder,salt (as per taste),red chili powder,coriander leaves chopped,chicken (cut into small pieces),mustard oil,ginger paste,garlic paste,red onion (cut into thin slices),onion for paste,green chili,green chili for paste,turmeric powder,garam masala,jeera powder or cumin powder,salt (as per taste),red chili powder,coriander leaves chopped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crab xec xec,crabs ( i used blue crabs),coconut flakes( grated fresh coconut),red chilies,peppercorns,garlic pods,medium piece of ginger,tamarind juice,cloves,salt to taste,coriander seeds or dhania seeds,small onion(chopped),cooking oil,crabs ( i used blue crabs),coconut flakes( grated fresh coconut),red chilies,peppercorns,garlic pods,medium piece of ginger,tamarind juice,cloves,salt to taste,coriander seeds or dhania seeds,small onion(chopped),cooking oil,crabs ( i used blue crabs),coconut flakes( grated fresh coconut),red chilies,peppercorns,garlic pods,medium piece of ginger,tamarind juice,cloves,salt to taste,coriander seeds or dhania seeds,small onion(chopped),cooking oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goan cabbage salad,cabbage,small tomato,green chilie,vinegar (palm),salt,coriander leaves,black pepper,cabbage,small tomato,green chilie,vinegar (palm),salt,coriander leaves,black pepper,cabbage,small tomato,green chilie,vinegar (palm),salt,coriander leaves,black pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omelette stuffed with mushrooms,eggs,shiitake mushrooms or button mushrooms,chicken stock,onion ( chopped finely),tomato ( chopped),coriander leaves,milk,pepper,oil,eggs,shiitake mushrooms or button mushrooms,chicken stock,onion ( chopped finely),tomato ( chopped),coriander leaves,milk,pepper,oil,eggs,shiitake mushrooms or button mushrooms,chicken stock,onion ( chopped finely),tomato ( chopped),coriander leaves,milk,pepper,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dahi gosht,beef ( cut into small cubes),onions,yogurt,red chillies,coriander seeds or dhania,cumin seeds  or jeera,green chillies( chopped),garlic pods,small piece of ginger,oil,water,salt to taste,cinnamon stick,bay leave,black pepper seeds,beef ( cut into small cubes),onions,yogurt,red chillies,coriander seeds or dhania,cumin seeds  or jeera,green chillies( chopped),garlic pods,small piece of ginger,oil,water,salt to taste,cinnamon stick,bay leave,black pepper seeds,beef ( cut into small cubes),onions,yogurt,red chillies,coriander seeds or dhania,cumin seeds  or jeera,green chillies( chopped),garlic pods,small piece of ginger,oil,water,salt to taste,cinnamon stick,bay leave,black pepper seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweet and soy shrimp,jumbo shrimp with heads,chopped scallions,soy sauce,oyster sauce (optional),oil,sugar,jumbo shrimp with heads,chopped scallions,soy sauce,oyster sauce (optional),oil,sugar,jumbo shrimp with heads,chopped scallions,soy sauce,oyster sauce (optional),oil,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
masala papad,papad,oil,lemon juice,onion,tomato,green chilly,inch cucumber,red chilli power,chat masala,salt as per taste,chopped coriander leaves or cilantro,aloo bhujiya or sev,papad,oil,lemon juice,onion,tomato,green chilly,inch cucumber,red chilli power,chat masala,salt as per taste,chopped coriander leaves or cilantro,aloo bhujiya or sev,papad,oil,lemon juice,onion,tomato,green chilly,inch cucumber,red chilli power,chat masala,salt as per taste,chopped coriander leaves or cilantro,aloo bhujiya or sev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kashmiri murgh mutanjan,parboil rice ( sella rice),boneless chicken ( cut into small bite size pieces),garlic - ginger paste,green cardamom,cloves,almonds (blanched),pistachios (blanched),low fat yogurt,milk,coloured petha (yellow or orange colour) (optional),cooking oil,salt to taste,water,parboil rice ( sella rice),boneless chicken ( cut into small bite size pieces),garlic - ginger paste,green cardamom,cloves,almonds (blanched),pistachios (blanched),low fat yogurt,milk,coloured petha (yellow or orange colour) (optional),cooking oil,salt to taste,water,parboil rice ( sella rice),boneless chicken ( cut into small bite size pieces),garlic - ginger paste,green cardamom,cloves,almonds (blanched),pistachios (blanched),low fat yogurt,milk,coloured petha (yellow or orange colour) (optional),cooking oil,salt to taste,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stirred fried snails,snails,oil,oyster sauce,soy sauce,white wine,red pepper ( chopped),green pepper(chopped),water,salt,pepper,sugar,chicken powder  or bouillon cube,snails,oil,oyster sauce,soy sauce,white wine,red pepper ( chopped),green pepper(chopped),water,salt,pepper,sugar,chicken powder  or bouillon cube,snails,oil,oyster sauce,soy sauce,white wine,red pepper ( chopped),green pepper(chopped),water,salt,pepper,sugar,chicken powder  or bouillon cube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stir fried gluten dough,package of gluten dough (from chinese super market),red pepper flakes (cayenne pepper flake),salt,chicken powder or bouillon cubes,soy sauce,oyster sauce,oil,package of gluten dough (from chinese super market),red pepper flakes (cayenne pepper flake),salt,chicken powder or bouillon cubes,soy sauce,oyster sauce,oil,package of gluten dough (from chinese super market),red pepper flakes (cayenne pepper flake),salt,chicken powder or bouillon cubes,soy sauce,oyster sauce,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese spinach in garlic soy sauce,clove chopped up garlic,chinese spinache,soy sauce,water,sugar,clove chopped up garlic,chinese spinache,soy sauce,water,sugar,clove chopped up garlic,chinese spinache,soy sauce,water,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ginger styled canadian crab,whole size canadian crab( mainly legs),slices of ginger,soy sauce,oyster sauce,sugar,potato starch,oil for deep frying,oil,salt,whole size canadian crab( mainly legs),slices of ginger,soy sauce,oyster sauce,sugar,potato starch,oil for deep frying,oil,salt,whole size canadian crab( mainly legs),slices of ginger,soy sauce,oyster sauce,sugar,potato starch,oil for deep frying,oil,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alle belle,eggs,shredded coconut,jaggery,salt,water,oil,flour,eggs,shredded coconut,jaggery,salt,water,oil,flour,eggs,shredded coconut,jaggery,salt,water,oil,flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baked samosa,boiled potatoes (aloo),all purpose flour (maida),chopped green chillies,1 inch grated ginger,oil for dough,baking powder (optional),active dry yeast,salt as per taste,ajwain or bishop,water,green peas,oil for frying,coriander powder (dhania powder),cumin powder (jeera powder),chopped coriander leaves or cilantro,boiled potatoes (aloo),all purpose flour (maida),chopped green chillies,1 inch grated ginger,oil for dough,baking powder (optional),active dry yeast,salt as per taste,ajwain or bishop,water,green peas,oil for frying,coriander powder (dhania powder),cumin powder (jeera powder),chopped coriander leaves or cilantro,boiled potatoes (aloo),all purpose flour (maida),chopped green chillies,1 inch grated ginger,oil for dough,baking powder (optional),active dry yeast,salt as per taste,ajwain or bishop,water,green peas,oil for frying,coriander powder (dhania powder),cumin powder (jeera powder),chopped coriander leaves or cilantro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peanut chutney,peanuts,medium sized onion,red chillies,garlic cloves,tamarind(gooseberry sized),water,oil,salt to taste,mustard seeds,urad dal,asafatida,a spring of curry leaves,peanuts,medium sized onion,red chillies,garlic cloves,tamarind(gooseberry sized),water,oil,salt to taste,mustard seeds,urad dal,asafatida,a spring of curry leaves,peanuts,medium sized onion,red chillies,garlic cloves,tamarind(gooseberry sized),water,oil,salt to taste,mustard seeds,urad dal,asafatida,a spring of curry leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pesarattu,green gram,rice (uncooked),green chillies,medium sized onion,inch ginger (skin peeled),salt,green gram,rice (uncooked),green chillies,medium sized onion,inch ginger (skin peeled),salt,green gram,rice (uncooked),green chillies,medium sized onion,inch ginger (skin peeled),salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sol kadhi,grated coconut,unsweetened kokum syrup,kokum skin dried,chillies,garlic cloves,fresh coriander leaves,grated coconut,unsweetened kokum syrup,kokum skin dried,chillies,garlic cloves,fresh coriander leaves,grated coconut,unsweetened kokum syrup,kokum skin dried,chillies,garlic cloves,fresh coriander leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kokum curry,water,unsweetened kokum syrup or kokum (5-6),chili,garlic cloves,pods black sichuan pepper (tirphal),sugar,fresh coriander leaves,water,unsweetened kokum syrup or kokum (5-6),chili,garlic cloves,pods black sichuan pepper (tirphal),sugar,fresh coriander leaves,water,unsweetened kokum syrup or kokum (5-6),chili,garlic cloves,pods black sichuan pepper (tirphal),sugar,fresh coriander leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jackfruit bhakri,jack fruit ( any variety),wheat rice (broken wheat or brown rice),dessicated coconut,jaggery( sugarcane),pieces cashewnuts,ghee (for lining),jack fruit ( any variety),wheat rice (broken wheat or brown rice),dessicated coconut,jaggery( sugarcane),pieces cashewnuts,ghee (for lining),jack fruit ( any variety),wheat rice (broken wheat or brown rice),dessicated coconut,jaggery( sugarcane),pieces cashewnuts,ghee (for lining),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thalipeeth,jawar flour (white millet flour),whole wheat flour,rice flour,chana / besan flour(bengal gram flour),red chilli powder,salt,coriander( dhania) powder,cumin(jeera) powder,turmeric powder(haldi),asafetida powder(hing),cooking oil,onion (chopped),coriander leaves,water,jawar flour (white millet flour),whole wheat flour,rice flour,chana / besan flour(bengal gram flour),red chilli powder,salt,coriander( dhania) powder,cumin(jeera) powder,turmeric powder(haldi),asafetida powder(hing),cooking oil,onion (chopped),coriander leaves,water,jawar flour (white millet flour),whole wheat flour,rice flour,chana / besan flour(bengal gram flour),red chilli powder,salt,coriander( dhania) powder,cumin(jeera) powder,turmeric powder(haldi),asafetida powder(hing),cooking oil,onion (chopped),coriander leaves,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sabudana khichadi sago,sago / tapioca,groundnut powder,fresh cucumber  or a medium potato,ghee (clarified butter),salt,sugar,green chilli (chopped),cumin (jeera),fresh coconut (grated ) for garnish,lemon or  lemon juice (2 teaspoons),fresh coriander leaves for garnish,sago / tapioca,groundnut powder,fresh cucumber  or a medium potato,ghee (clarified butter),salt,sugar,green chilli (chopped),cumin (jeera),fresh coconut (grated ) for garnish,lemon or  lemon juice (2 teaspoons),fresh coriander leaves for garnish,sago / tapioca,groundnut powder,fresh cucumber  or a medium potato,ghee (clarified butter),salt,sugar,green chilli (chopped),cumin (jeera),fresh coconut (grated ) for garnish,lemon or  lemon juice (2 teaspoons),fresh coriander leaves for garnish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gongura pulihorasorrel leaves tamarind rice,rice (cooked and cooled),sorrel leaves (gongura),mustard seeds,fenugreek seeds or meethi seeds,red chillies,freen chillies,tamarind paste,oil,coriander seeds or dhania seeds,sesame seeds or til sed,turmeric powder,jeera (cumin seeds),urad dal (black gram),chana dal(split bengal gram),peanuts,asafoetida (hing),curry leaves,rice (cooked and cooled),sorrel leaves (gongura),mustard seeds,fenugreek seeds or meethi seeds,red chillies,freen chillies,tamarind paste,oil,coriander seeds or dhania seeds,sesame seeds or til sed,turmeric powder,jeera (cumin seeds),urad dal (black gram),chana dal(split bengal gram),peanuts,asafoetida (hing),curry leaves,rice (cooked and cooled),sorrel leaves (gongura),mustard seeds,fenugreek seeds or meethi seeds,red chillies,freen chillies,tamarind paste,oil,coriander seeds or dhania seeds,sesame seeds or til sed,turmeric powder,jeera (cumin seeds),urad dal (black gram),chana dal(split bengal gram),peanuts,asafoetida (hing),curry leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baba ganoush pockets,eggplant,tahini,juice of lemon,garlic cloves,green chilies,olives chopped,fried onion(optional),butter,peanuts coarsely chopped,puff pastry sheet,eggplant,tahini,juice of lemon,garlic cloves,green chilies,olives chopped,fried onion(optional),butter,peanuts coarsely chopped,puff pastry sheet,eggplant,tahini,juice of lemon,garlic cloves,green chilies,olives chopped,fried onion(optional),butter,peanuts coarsely chopped,puff pastry sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goan sorak curry,grated coconut,red chili powder,corainder powder,haldi powder or turmeric powder,black peppercorns,garlic flakes,inches ginger,small ball of tamarind,kokum (binda sola),jeera powder or cumin powder,green chili sliced vertically,small onion,water,salt to taste,grated coconut,red chili powder,corainder powder,haldi powder or turmeric powder,black peppercorns,garlic flakes,inches ginger,small ball of tamarind,kokum (binda sola),jeera powder or cumin powder,green chili sliced vertically,small onion,water,salt to taste,grated coconut,red chili powder,corainder powder,haldi powder or turmeric powder,black peppercorns,garlic flakes,inches ginger,small ball of tamarind,kokum (binda sola),jeera powder or cumin powder,green chili sliced vertically,small onion,water,salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
murmure chivada,poha (flattened rice),churmure (puffed rice),cooking oil,salt,sugar,chilies,daale (puffed chana dal),groundnuts or peanuts,mustard seeds,cumin seeds,astafetida powder (hing),poha (flattened rice),churmure (puffed rice),cooking oil,salt,sugar,chilies,daale (puffed chana dal),groundnuts or peanuts,mustard seeds,cumin seeds,astafetida powder (hing),poha (flattened rice),churmure (puffed rice),cooking oil,salt,sugar,chilies,daale (puffed chana dal),groundnuts or peanuts,mustard seeds,cumin seeds,astafetida powder (hing),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sizzling flounder with oyster sauce,oil,fillet of flounder,small strands of scallions,oyster sauce,oil,fillet of flounder,small strands of scallions,oyster sauce,oil,fillet of flounder,small strands of scallions,oyster sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rava laddu,sooji/fine semolina/rava,ghee,raisins,cashewnuts,grated coconut,sugar,milk,cardamom powder,sooji/fine semolina/rava,ghee,raisins,cashewnuts,grated coconut,sugar,milk,cardamom powder,sooji/fine semolina/rava,ghee,raisins,cashewnuts,grated coconut,sugar,milk,cardamom powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daanghor,finely chopped onion,disecated coconut,frshly chopped corianderr leaves / cilantro,finely chopped green chillies,prawns or clams.,corn starch (do not use if using egg),turmeric powder,tamarind paste,red chilli powder,coriander powder,garam masala powder,salt to taste,egg (can be used instead of corn starch),rava or semolina,finely chopped onion,disecated coconut,frshly chopped corianderr leaves / cilantro,finely chopped green chillies,prawns or clams.,corn starch (do not use if using egg),turmeric powder,tamarind paste,red chilli powder,coriander powder,garam masala powder,salt to taste,egg (can be used instead of corn starch),rava or semolina,finely chopped onion,disecated coconut,frshly chopped corianderr leaves / cilantro,finely chopped green chillies,prawns or clams.,corn starch (do not use if using egg),turmeric powder,tamarind paste,red chilli powder,coriander powder,garam masala powder,salt to taste,egg (can be used instead of corn starch),rava or semolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tomato basil soup,olive oil,"onions,chopped","carrots,chopped",garlic cloves,very ripe large tomatoes,a bunch of  fresh basil leaves,sugar,chicken broth(or vegetarian broth),green chilies(optional),salt,ground black pepper,oregano,cream(optional),olive oil,"onions,chopped","carrots,chopped",garlic cloves,very ripe large tomatoes,a bunch of  fresh basil leaves,sugar,chicken broth(or vegetarian broth),green chilies(optional),salt,ground black pepper,oregano,cream(optional),olive oil,"onions,chopped","carrots,chopped",garlic cloves,very ripe large tomatoes,a bunch of  fresh basil leaves,sugar,chicken broth(or vegetarian broth),green chilies(optional),salt,ground black pepper,oregano,cream(optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goan kalva fry,semolina/ rava,turmeric powder,red chilli powder,salt,oil for frying,fresh oysters,semolina/ rava,turmeric powder,red chilli powder,salt,oil for frying,fresh oysters,semolina/ rava,turmeric powder,red chilli powder,salt,oil for frying,fresh oysters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peach crumble,almond extract,flour,white granulated sugar,brown sugar,oats,cold butter,salt,cinnamon powder,peaches,almond extract,flour,white granulated sugar,brown sugar,oats,cold butter,salt,cinnamon powder,peaches,almond extract,flour,white granulated sugar,brown sugar,oats,cold butter,salt,cinnamon powder,peaches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
almyanche tondak,sliced onion,desiccated coconut,turmeric powder,red chili powder,corriander powder,cumin powder,coconut milk (fresh/ tinned),salt to taste,water,cloves of garlic,whole red chillies,garam masala powder,mushrooms,coconut oil (can be substituted with regular vegetable oil),sliced onion,desiccated coconut,turmeric powder,red chili powder,corriander powder,cumin powder,coconut milk (fresh/ tinned),salt to taste,water,cloves of garlic,whole red chillies,garam masala powder,mushrooms,coconut oil (can be substituted with regular vegetable oil),sliced onion,desiccated coconut,turmeric powder,red chili powder,corriander powder,cumin powder,coconut milk (fresh/ tinned),salt to taste,water,cloves of garlic,whole red chillies,garam masala powder,mushrooms,coconut oil (can be substituted with regular vegetable oil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sooji laddoo,rava or sooji or semolina,sugar,water,ghee or clarified butter,whole coconut,cardamom powder,milk,rava or sooji or semolina,sugar,water,ghee or clarified butter,whole coconut,cardamom powder,milk,rava or sooji or semolina,sugar,water,ghee or clarified butter,whole coconut,cardamom powder,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
namkin strips,maida flour  or all purpose flour,ajwain seeds or bishop,cumin seeds or jeera,salt,cooking oil,water,maida flour  or all purpose flour,ajwain seeds or bishop,cumin seeds or jeera,salt,cooking oil,water,maida flour  or all purpose flour,ajwain seeds or bishop,cumin seeds or jeera,salt,cooking oil,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
idli sandwich,rice,urad dal,carrot grated,cabbage chopped,cauliflower,ginger-garlic paste,green chilli,chopped coriander leaves,cooking oil,salt,water,yogurt,green chilli paste,rice,urad dal,carrot grated,cabbage chopped,cauliflower,ginger-garlic paste,green chilli,chopped coriander leaves,cooking oil,salt,water,yogurt,green chilli paste,rice,urad dal,carrot grated,cabbage chopped,cauliflower,ginger-garlic paste,green chilli,chopped coriander leaves,cooking oil,salt,water,yogurt,green chilli paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dondakaya kura,gherkins/tindora/dondakaya cut lengthwise,oil,mustard seeds,cumin seeds,chana dal,urad dal,garlic cloves,curry leaves stem,turmeric,red chili powder,sugar,salt to taste,peanuts ground to a powder,gherkins/tindora/dondakaya cut lengthwise,oil,mustard seeds,cumin seeds,chana dal,urad dal,garlic cloves,curry leaves stem,turmeric,red chili powder,sugar,salt to taste,peanuts ground to a powder,gherkins/tindora/dondakaya cut lengthwise,oil,mustard seeds,cumin seeds,chana dal,urad dal,garlic cloves,curry leaves stem,turmeric,red chili powder,sugar,salt to taste,peanuts ground to a powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dosakaya pappu apple cucumber dal,toor dal,peeled and chopped yellow cucumber,medium size tomatoes,medium size onion,green chilies,red chilies,cumin seeds,urad dal,garlic cloves,curry leaves stem,salt,turmeric,oil,tamarind paste,asafetida,toor dal,peeled and chopped yellow cucumber,medium size tomatoes,medium size onion,green chilies,red chilies,cumin seeds,urad dal,garlic cloves,curry leaves stem,salt,turmeric,oil,tamarind paste,asafetida,toor dal,peeled and chopped yellow cucumber,medium size tomatoes,medium size onion,green chilies,red chilies,cumin seeds,urad dal,garlic cloves,curry leaves stem,salt,turmeric,oil,tamarind paste,asafetida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nutella banana crepes,nutella,banana,all purpose/multigrain flour,milk,egg,oil,salt,maple syrup or sugar syrup,nutella,banana,all purpose/multigrain flour,milk,egg,oil,salt,maple syrup or sugar syrup,nutella,banana,all purpose/multigrain flour,milk,egg,oil,salt,maple syrup or sugar syrup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beerakaya pachadi,"ridge gourd ( tori)with skin, chopped","tomatoes, chopped",green chilies,mustard seeds,chana dal,urad dal,cumin seeds,garlic cloves,salt as per taste,turmeric,oil,"ridge gourd ( tori)with skin, chopped","tomatoes, chopped",green chilies,mustard seeds,chana dal,urad dal,cumin seeds,garlic cloves,salt as per taste,turmeric,oil,"ridge gourd ( tori)with skin, chopped","tomatoes, chopped",green chilies,mustard seeds,chana dal,urad dal,cumin seeds,garlic cloves,salt as per taste,turmeric,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cheese crackers,butter,flour,salt,cheddar cheese,ajwain (carom seeds),chili flakes,dry basil powder,butter,flour,salt,cheddar cheese,ajwain (carom seeds),chili flakes,dry basil powder,butter,flour,salt,cheddar cheese,ajwain (carom seeds),chili flakes,dry basil powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
puran poli,chana dal ( split bengal gram),water ( 3 cups),sugar,green cardamom powder,nutmeg powder,ghee or clarified butter,wheat flour (atta),salt to taste,cooking oil,chana dal ( split bengal gram),water ( 3 cups),sugar,green cardamom powder,nutmeg powder,ghee or clarified butter,wheat flour (atta),salt to taste,cooking oil,chana dal ( split bengal gram),water ( 3 cups),sugar,green cardamom powder,nutmeg powder,ghee or clarified butter,wheat flour (atta),salt to taste,cooking oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage kobbari vepudu,small cabbage finely chopped,grated coconut(fresh or frozen),curry leaves,garlic cloves,salt as per taste,turmeric powder,chana dal,urad dal,mustard seeds,cumin seeds,oil,small cabbage finely chopped,grated coconut(fresh or frozen),curry leaves,garlic cloves,salt as per taste,turmeric powder,chana dal,urad dal,mustard seeds,cumin seeds,oil,small cabbage finely chopped,grated coconut(fresh or frozen),curry leaves,garlic cloves,salt as per taste,turmeric powder,chana dal,urad dal,mustard seeds,cumin seeds,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oli shev,gram flour / chana dal flour,turmeric or haldi,salt,dhania jeera powder (coriander & cumin powder,cooking oil,yogurt or dahi,sugar,water,coriander leaves chopped,coconut grated,green chili,mustard seeds,cumin seeds or jeera sees,turmeric powder or haldi powder,asafetida powder or hing,cooking oil,gram flour / chana dal flour,turmeric or haldi,salt,dhania jeera powder (coriander & cumin powder,cooking oil,yogurt or dahi,sugar,water,coriander leaves chopped,coconut grated,green chili,mustard seeds,cumin seeds or jeera sees,turmeric powder or haldi powder,asafetida powder or hing,cooking oil,gram flour / chana dal flour,turmeric or haldi,salt,dhania jeera powder (coriander & cumin powder,cooking oil,yogurt or dahi,sugar,water,coriander leaves chopped,coconut grated,green chili,mustard seeds,cumin seeds or jeera sees,turmeric powder or haldi powder,asafetida powder or hing,cooking oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methi namkin strips,maida or all purpose flour,kasuri methi,cumin powder or jeera powder,salt,cooking oil,water,maida or all purpose flour,kasuri methi,cumin powder or jeera powder,salt,cooking oil,water,maida or all purpose flour,kasuri methi,cumin powder or jeera powder,salt,cooking oil,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maharashtrian kofta curry,bottle gourd( dudhi bhopla ),besan atta ( gram flour ),red chili powder,salt,turmeric powder or haldi,cumin( jeera) and coriander( dhania) powder,coriander leaves for garnish,cooking oil for frying,onion large,tomato large,garlic cloves,small piece of ginger chopped,coriander leaves or cilantro leaves,garam masala,turmeric powder or haldi,mustard seeds,cumin  seeds or jeera,asafetida powder or hing,sugar,bottle gourd( dudhi bhopla ),besan atta ( gram flour ),red chili powder,salt,turmeric powder or haldi,cumin( jeera) and coriander( dhania) powder,coriander leaves for garnish,cooking oil for frying,onion large,tomato large,garlic cloves,small piece of ginger chopped,coriander leaves or cilantro leaves,garam masala,turmeric powder or haldi,mustard seeds,cumin  seeds or jeera,asafetida powder or hing,sugar,bottle gourd( dudhi bhopla ),besan atta ( gram flour ),red chili powder,salt,turmeric powder or haldi,cumin( jeera) and coriander( dhania) powder,coriander leaves for garnish,cooking oil for frying,onion large,tomato large,garlic cloves,small piece of ginger chopped,coriander leaves or cilantro leaves,garam masala,turmeric powder or haldi,mustard seeds,cumin  seeds or jeera,asafetida powder or hing,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
