,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Corn Panki,1 cup grated sweet corn kernels (makai ke dane),2 tsp oil, salt to taste,2 tbsp finely chopped coriander (dhania),1 tbsp finely chopped green chillies,2 tbsp semolina (rava),1/4 cup besan (bengal gram flour),16 banana leaves (kele ka patta) for cooking, oil for greasing, green chutney,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badshahi Khichdi,1 cup rice (chawal),1/2 cup toovar (arhar) dal,2 tbsp ghee,4 cloves (laung / lavang),25 mm (1”) stick cinnamon (dalchini), a pinch asafoetida (hing),1/4 tsp turmeric powder (haldi), salt to taste,1 1/2 cups peeled potato cubes,2 tbsp ghee,1 tsp mustard seeds ( rai / sarson),1/2 cup sliced onions,1 tsp ginger-green chilli paste,1/4 tsp turmeric powder (haldi),1 tsp chilli powder,1 tsp coriander (dhania) powder, salt to taste,1/4 cup fresh curds (dahi),1 cup fresh curds (dahi), salt to taste,1 tsp ghee,1 tsp mustard seeds ( rai / sarson),4 to 6 curry leaves (kadi patta),2 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,
Kaju Puri,3/4 cup powdered cashewnuts (kaju),1/3 cup sieved icing sugar,"3 cardamoms (elaichi) ,  powdered",1/4 tsp saffron (kesar) strands,2 to 3 tbsp milk,2 drops almond essence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raiwala Marcha,20  bhavnagari chillies,1/2 cup coarsely crushed split mustard seeds (rai na kuria),2 tbsp salt,1/2 tsp turmeric powder (haldi),1/2 tsp asafoetida (hing),1 tsp coarsely crushed fennel seeds (saunf),4 tsp oil,1 tbsp lemon juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanwa Panki ( Faraali Recipe),2 cups sanwa millet (sama),1/2 cup rajgira flour,4 tbsp arrowroot (paniphal) flour,2 tbsp ghee,1 tsp cumin seeds (jeera),"3/4 cup sour curds (khatta dahi) , beaten", rock salt  (sendha namak) to taste,1 tbsp finely chopped coriander (dhania),1 1/2 tsp ginger-green chilli paste,"4 to 6 banana leaves (kele ka patta) , cut into 150 mm x 150 mm. square pieces", oil for greasing and cooking, green chutney, bhavanagari chillies,,,,,,,,,,,,,,,,,,,,,,,,,
Vegetable and Yoghurt Kadhi,"1 cup chopped and boiled mixed vegetables (carrots ,  french beans ,  cauliflower ,  green peas)",1 cup fresh curds (dahi),1 1/2 tbsp besan (bengal gram flour),1/2 tbsp ghee,1/2 tsp mustard seeds ( rai / sarson),1/2 tsp cumin seeds (jeera),1/4 cup finely chopped onions,1/2 tsp chilli powder,1/4 tsp turmeric powder (haldi),1/4 tsp coriander-cumin seeds (dhania-jeera) powder, salt to taste,2 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarati Toovar Dal,"1/2 cup toovar (arhar) dal , washed and drained",1/2 tsp turmeric powder (haldi),2 sliced green chillies,1/4 tsp finely chopped ginger (adrak),1/4 cup chopped tomatoes,1/4 cup chopped jaggery (gur), salt to taste,1 tbsp oil,1 tsp mustard seeds ( rai / sarson),1/2 tsp cumin seeds (jeera),2 cloves (laung / lavang),1 small stick cinnamon (dalchini),4 to 5 curry leaves (kadi patta),1/4 tsp asafoetida (hing),1/2 tsp chilli powder,2 tsp lemon juice,2 tbsp finely chopped coriander (dhania),1/4 roti / rice,,,,,,,,,,,,,,,,,,,,
Ghughra with Fansi and Paneer Stuffing,1 3/4 cups plain flour (maida),1 1/2 tbsp melted ghee, salt to taste,1 cup chopped and par-boiled french beans,1/2 cup crumbled paneer (cottage cheese),1 tbsp oil,1/4 cup finely chopped onions,1 tsp green chilli paste,2 tbsp finely chopped coriander (dhania), salt to taste, oil for deep-frying, green chutney,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moong Dal Khichdi, Gujarati Recipe",1 cup boiled yellow moong dal (split yellow gram),1 cup rice (chawal),1/2 tsp turmeric powder (haldi),10 black peppercorns (kalimirch), salt to taste,2 1/2 tbsp ghee, kadhi, papad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instant Lemon Pickle ( Zero Oil),7 (approx. 300 grams) lemon,2 tbsp lemon juice,3 tsp salt,1/4 tsp turmeric powder (haldi),1 1/2 cups castor sugar,2 tsp chilli powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow Moong Dal Khichu,"1/2 cup yellow moong dal (split yellow gram) , soaked for 1 hour and drained",1 tsp finely chopped green chillies,1/2 tsp cumin seeds (jeera),1/4 tsp asafoetida (hing), a pinch of baking soda, salt to taste, oil for drizzling, koro sambhar for sprinkling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masala Sweet Potato Fries,1/4 tsp chilli powder,1/4 tsp cumin seeds (jeera) powder,1 1/2 cups sweet potato fingers, oil for deep-frying, salt and to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ganthia Nu Shaak ( Gujarati Recipe),"2 cups ganthia  ,   refer handy tip",2 tsp oil,1 tsp cumin seeds (jeera),1/2 tsp turmeric powder (haldi),1/2 tsp chilli powder,"1/2 cup curds (dahi) , whisked with 1 1/2 cups of water", salt to taste,2 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pizza Khichu,2 tbsp pizza sauce, a pinch of baking soda,1/2 tsp cumin seeds (jeera),1 tsp dried mixed herbs,1/2 tsp finely chopped green chillies, salt to taste,1 tbsp oil,1/2 cup rice flour (chawal ka atta),"1/4 cup finely chopped capsicum (red ,  yellow and green)",1/4 cup grated processed cheese, olive oil for drizzling, dried mixed herbs for sprinkling,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajra Khichu with Masala Dahi,1/2 cup bajra (black millet) flour, a pinch of baking soda,1/2 tsp cumin seeds (jeera),1/2 tsp finely chopped green chillies, salt to taste,1 tbsp oil,1/2 cup thick curds (dahi),1 tsp powdered sugar, salt to taste,2 tsp oil,1/2 tsp cumin seeds (jeera),1/2 tsp finely chopped green chillies,4 curry leaves (kadi patta),1/4 tsp garam masala,1/4 tsp chilli powder, a pinch of turmeric powder (haldi),1 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,
Chillies Stuffed with Paneer and Cheese,"6  bhavnagari chillies  ,  deseeded",1/2 cup plain flour (maida), a pinch of baking powder, salt to taste, oil for deep-frying,1/2 cup chopped paneer (cottage cheese),1/4 cup grated processed cheese, salt and freshly ground black pepper (kalimirch) to taste, hot and sweet sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Patra ( Non - Fried Snacks ), How To Make Gujarati Patra",12 medium sizes colocassia leaves  (arbi ke patte),2 tbsp oil,1 tsp mustard seeds ( rai / sarson),2 tsp sesame seeds (til), a pinch of asafoetida (hing),2 1/2 cups besan (bengal gram flour),1 tsp ginger-green chilli paste,1/2 tsp turmeric powder (haldi),1 tsp chilli powder,1/2 tsp asafoetida (hing),3/4 cup grated jaggery (gur),3 tbsp tamarind water, salt to taste,2 tbsp freshly grated coconut,2 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,
Rice Panki ( Gujarati Recipe),2 cups rice flour (chawal ka atta),"1/2 cup curds (dahi) , beaten", salt to taste,1/4 tsp asafoetida (hing),"1 tsp cumin seeds (jeera) , roughly ground",1 tsp ginger-green chilli paste,2 tsp garlic (lehsun) paste,2 tsp melted ghee, a pinch turmeric powder (haldi),"4 to 6 banana leaves (kele ka patta) , cut into 150 mm. x 150 mm.  (6” x 6”) square pieces", oil for greasing and cooking,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oondhiya, Microwave Oondhiya",1 cup chopped fenugreek (methi) leaves,1/4 cup whole wheat flour (gehun ka atta),1/4 cup besan (bengal gram flour),1 tsp ginger-green chilli paste,2 tsp sugar,1/2 tbsp lemon juice,1/4 tsp garam masala,1/4 tsp turmeric powder (haldi), a pinch of baking soda,2 tbsp oil, salt to taste,1 1/2 cups surti papadi (fresh vaal),1/2 cup purple yam (kand) cubes  (peeled),1/2 cup yam (suran) cubes  (peeled),1/2 cup small potatoes  (peeled),1/2 cup oil,1/4 tsp asafoetida (hing),1/2 tsp carom seeds (ajwain),1/4 tsp baking soda, salt to taste,1/2 cup grated fresh coconut,1/2 cup chopped coriander (dhania),1/4 cup chopped green garlic (hara lehsun),2 tsp coriander-cumin seeds (dhania-jeera) powder,2 tsp ginger-green chilli paste,2 tsp chilli powder,2 tsp sugar,1 tbsp lemon juice, salt to taste,,,,,,,,,
Osaman ( Gujarati Recipe),1/2 cup toovar (arhar) dal,2 tbsp ghee,2 cloves (laung / lavang),2 sticks cinnamon (dalchini),1/2 tsp mustard seeds (rai / sarson),1/2 tsp cumin seeds (jeera),1/2 tsp asafoetida (hing),6 to 8 curry leaves (kadi patta),1/2 tsp ginger-green chilli paste,1/4 tsp turmeric powder (haldi),1/2 tsp chilli powder,"4 kokum , soaked in water",2 tbsp jaggery (gur), salt and freshly ground black pepper powder to taste,2 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,
"Amiri Khaman, Gujarati Sev Khamani Recipe",20  khaman dhoklas,1 tbsp oil,2 tsp mustard seeds ( rai / sarson),2 tsp finely chopped garlic (lehsun),1 1/2 tsp finely chopped green chillies,1/4 tsp asafoetida (hing),2 tbsp powdered sugar,2 tbsp pomegranate (anar) seeds,2 tbsp chopped coriander (dhania),2 tbsp freshly grated coconut,3 tbsp sev,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tameta Muthia Nu Shaak ( Gujarati Recipe),"3 cups tomatoes , cut into cubes",1 recipe palak methi muthias,2 tbsp oil,1/2 tsp mustard seeds ( rai / sarson),1/2 tsp grated ginger (adrak),4 to 5 curry leaves (kadi patta), a pinch of asafoetida (hing),1/2 tsp turmeric powder (haldi),2 tsp coriander-cumin seeds (dhania-jeera) powder,1 tsp sugar  (optional), salt to taste, rotlis,,,,,,,,,,,,,,,,,,,,,,,,,,
Cucumber and Carrot Pickle,"1/2 cup cucumber , cut into strips",1/2 cup carrot juliennes,2 slit green chillies,1/2 tsp lemon juice,1 tbsp split mustard seeds (rai na kuria),1/4 tsp asafoetida (hing),1/4 tsp turmeric powder (haldi),1 tbsp mustard (rai / sarson) oil,1 tsp salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turiya Mag Ni Dal ( Gujarati Recipe),"1 1/2 cups ridge gourd (turai) , peeled and cubed",1 cup yellow moong dal (split yellow gram),1 tbsp oil,1 tsp cumin seeds (jeera),1/2 tsp mustard seeds ( rai / sarson),1/2 tsp asafoetida (hing),1 tsp ginger-green chilli paste,1/4 tsp turmeric powder (haldi),1/2 tsp chilli powder,1/4 tsp sugar, salt to taste,1 tsp lemon juice  (optional),1 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,
Toovar Dal and Mixed Vegetable Masala Khichdi,1 1/2 cups long grained rice (basmati),1/2 cup toovar (arhar) dal,2 tbsp ghee,1/4 tsp asafoetida (hing),1/4 tsp turmeric powder (haldi),2 pinches soda bi-carb,10 baby onions,"5 baby potatoes , peeled",3  small brinjals (baingan / eggplant),3/4 cup green peas, salt to taste,1/2 cup freshly grated coconut,4 tbsp finely chopped coriander (dhania),4 tsp coriander-cumin seeds (dhania-jeera) powder,4 tsp sugar,2 tsp chilli powder, a pinch of asafoetida (hing), salt to taste, papad, buttermilk,,,,,,,,,,,,,,,,,,
"Yam Raita, Farali Suran Raita Recipe","1 cup peeled , boiled and mashed yam (suran)",1 cup fresh curds (dahi), rock salt (sendha namak) to taste,1 1/2 tsp sugar,1/2 tsp green chilli paste,1/2 tsp black peppercorns (kalimirch) powder,2 tsp chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ringna Vatana,4 cups brinjal (baingan / eggplant) cubes,1 1/2 cups green peas,2 tsp oil,1/2 tsp cumin seeds (jeera), salt to taste,1 tsp lemon juice,1 tsp coriander-cumin seeds (dhania-jeera) powder,1/2 tsp turmeric powder (haldi),1/2 tsp chilli powder, salt to taste,1/2 cup roughly chopped onions,1/4 cup chopped coriander (dhania),"2 green chillies , roughly chopped",1/2 tsp chopped ginger (adrak),2 cardamoms,4 garlic (lehsun) cloves, a sprig of coriander (dhania),,,,,,,,,,,,,,,,,,,,,
"Peanut Kadhi, Farali Mungfali Kadhi, Vrat ki Kadhi",2 tbsp roasted peanut powder,1 cup fresh curds (dahi),1 tbsp rajgira flour,1 tsp ghee,1/2 tsp cumin seeds (jeera),1 tbsp ginger-green chilli paste, rock salt to taste,1/2 tsp sugar,1 tsp finely chopped coriander (dhania), rajgira paratha or sabudana khichdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kand Wafers,1 1/2 cups peeled and thinly sliced purple yam (kand), oil for deep-frying, freshly ground black pepper (kalimirch) to taste, rock salt  (sendha namak) to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khajur Imli ni Chutney ( Gujarati Recipe),1 cup deseeded dates (khajur),2 tbsp deseeded tamarind (imli),1/2 cup grated jaggery (gur),1/2 tsp chilli powder,1 tsp cumin seeds (jeera) powder, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhavnagari Chillies (  Faraal Recipe),2 tbsp oil,1/2 tsp sesame seeds (til),1/2 tsp cumin seeds (jeera),2 tbsp water chestnut (shingoda) flour,1 cup sliced bhavnagari chillies,1/2 tbsp lemon juice, rock salt  (sendha namak) to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magaz,4 cups besan (bengal gram flour),1 cup ghee,2 cups powdered sugar,1/4 cup coarsely powdered almonds (badam),1/2 tsp cardamom (elaichi) powder,1 tbsp almond (badam) slivers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bhinda Nu Shaak, Okra Subzi",4 cups chopped ladies finger (bhindi),2 tbsp oil,1 tsp cumin seeds (jeera),1/4 tsp asafoetida (hing),1/4 tsp turmeric powder (haldi),2 tsp coriander-cumin seeds (dhania-jeera) powder,1 tsp chilli powder,2 tbsp chopped coriander (dhania), salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kacchi Keri Ni Chutney ( Gujarati Recipe),1/2 cup peeled and grated raw mangoes,1 cup chopped coriander (dhania),"2 green chillies ,  roughly chopped",1 tsp cumin seeds (jeera) powder,1 tbsp sugar, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badam Ka Sheera ( Pregnancy Recipe),"1/2 cup almonds (badam) , soaked overnight",1/3 cup milk,4 tbsp sugar,3 tbsp ghee,1/4 tsp cardamom (elaichi) powder,"2 to 3 almonds (badam) , slivered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ghughra, Vatana na Ghughra, Green Peas Ghughra",1 1/2 cups plain flour (maida),1 tbsp melted ghee, salt to taste,1/4 tsp oil for kneading,"2 cups fresh green peas , coarsely crushed",1 tbsp oil,1/2 tsp cumin seeds (jeera),1/4 tsp asafoetida (hing),1 1/2 tsp sugar,1 1/2 tsp green chilli paste,1/2 tsp ginger (adrak) paste,2 tbsp chopped coriander (dhania),4 tbsp grated coconut,1 tsp sesame seeds (til),1 tbsp lemon juice, salt to taste, plain flour (maida) for rolling, oil for deep-frying, green chutney,,,,,,,,,,,,,,,,,,,
Roasted Green Chillies in Spicy Masala,8 light green chillies,2 tsp oil,1/2 tsp coriander-cumin seeds (dhania-jeera) powder,1/2 tsp chilli powder,1 tsp lemon juice, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sweet Potato Khichdi, Vrat, Upvas",3 cups peeled and grated sweet potatoes,1 cup peeled and grated potatoes,2 tbsp oil,1 tsp cumin seeds (jeera),5 curry leaves (kadi patta),1 1/2 tsp green chilli paste,1 tbsp lemon juice,"2 tbsp finely chopped coriander (dhania) , optional",1/4 cup roasted and coarsely crushed peanuts,1 tbsp sugar, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paatra ( Gujarati Recipe),2 1/2 cups besan (bengal gram flour),1 tsp ginger-green chilli paste,1/2 tsp turmeric powder (haldi),1 tsp chilli powder,1/2 tsp asafoetida (hing),3/4 cup grated jaggery (gur),3 tbsp tamarind (imli) pulp,1 tsp oil, salt to taste,10  medium sized colocasia leaves,2 tsp oil,1 tsp mustard seeds ( rai / sarson),2 tsp sesame seeds (til), a pinch of asafoetida (hing),2 tbsp freshly grated coconut,2 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,
"Sabudana Vada Stuffed with Coconut Chutney, Vrat, Upvas",1/2 cup sago (sabudana),1 1/2 cups boiled and mashed potatoes,1 tbsp finely chopped green chillies,1/2 cup roasted and coarsely crushed peanuts,"1/4 cup finely chopped coriander (dhania) , optional",2 tsp lemon juice,2 tsp sugar,1 tsp crushed cumin seeds (jeera), rock salt (sendha namak) to taste, oil for deep-frying,1/2 cup grated coconut,"2 tbsp chopped coriander (dhania) , optional",2 tbsp raw peanuts,1 tsp lemon juice,1 tsp sugar,1 tsp roughly chopped green chillies, rock salt (sendha namak) to taste,1 tbsp water, peanut curd chutney,,,,,,,,,,,,,,,,,,,
Diabetic Puranpoli,3/4 cup whole wheat flour (gehun ka atta),"2 tbsp low-fat milk ,  99.7% fat-free",1/2 tsp oil,1/2 cup chana dal (split bengal gram),1 tbsp sugar substitute,2 1/2 tsp readymade milk masala powder, whole wheat flour (gehun ka atta) for rolling,1 tsp ghee for cooking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sama Pulao, For Vrat Or Upvas",1 cup sanwa millet (sama),1 tbsp ghee,1 tsp cumin seeds (jeera),2 cloves (laung / lavang)  (laung/lavang),1 small stick cinnamon (dalchini),1 cardamom (elaichi),1 tsp finely chopped green chillies,1/2 cup potato cubes, rock salt ( sendha namak) to taste,"2 tbsp finely chopped coriander (dhania) , optional",1/4 cup roasted and coarsely crushed peanuts,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masala Khakhra,1/2 cup whole wheat flour (gehun ka atta),1 tsp sesame seeds (til),1/4 tsp turmeric powder (haldi),1/2 tsp chilli powder,2 tsp oil, salt to taste, whole wheat flour (gehun ka atta) for rolling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Khandvi, Microwave Recipe",3/4 cup besan (bengal gram flour),3/4 cup curds (dahi) mixed with 3/4 cup water,1 tsp ginger-green chilli paste,1/4 tsp turmeric powder (haldi), a pinch of asafoetida (hing), salt to taste,2 tbsp oil,1 tsp mustard seeds ( rai / sarson),1 tsp sesame seeds (til), a pinch of asafoetida (hing),4 to 5 curry leaves (kadi patta),3 tbsp grated coconut,2 tbsp chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,
"Toovar Dal, Toovar Dal with Onions","1 cup arhar (toovar) dal ,  washed and drained",1/2 cup sliced onions,1/2 tsp turmeric powder (haldi), salt to taste,1 tbsp oil,1 tsp cumin seeds (jeera),1/4 tsp asafoetida (hing),6 curry leaves (kadi patta),1 tsp chilli powder,1 tsp coriander-cumin seeds (dhania-jeera) powder,1 tsp ginger-green chilli paste,1 tsp sugar,2 tbsp lemon juice,2 tbsp chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,
"Khatta Dhokla, Gujarati Recipe","2 cups khatta dhokla flour  ,   refer handy tip",1/4 cup sour curds (khatta dahi),1 1/2 tsp green chilli paste,1 1/4 tsp oil, salt to taste,3 tsp fruit salt,1 1/2 tsp roasted and coarsely crushed black pepper (kalimirch), green chutney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spicy Kofta Kadhi ( Kadhi Recipe),1 cup roughly chopped tomatoes,"7 green chillies , roughly chopped",12 garlic (lehsun) cloves,2 tbsp freshly grated coconut,4 tbsp cashewnuts (kaju),4 tbsp poppy seeds (khus-khus),3/4 cup finely chopped brinjal (baingan / eggplant),1 cup finely chopped cabbage,1 cup finely chopped onions,1/2 cup besan (bengal gram flour), salt to taste,4 tsp finely chopped green chillies, a pinch of baking soda, oil for deep-frying,3 tbsp ghee,50 cinnamon (dalchini),3 cloves (laung / lavang),2 cardamoms,1 tsp chilli powder,1/2 cup besan (bengal gram flour),4 tbsp tamarind (imli) water, salt to taste,4 tbsp fresh cream,2 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,
Rotlis ( Gujarati Recipe),2 cups whole wheat flour (gehun ka atta), salt to taste,1 tsp oil, whole wheat flour (gehun ka atta) for rolling, ghee for smearing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chaas, Buttermilk Recipe, Salted Chaas Recipe","2 cups fresh curds (dahi) , whisked",1 tsp cumin seeds (jeera) powder,1/2 tsp ginger-green chilli paste,1/2 tsp black salt (sanchal), salt to taste,1 tsp oil,1/4 tsp cumin seeds (jeera), a pinch of asafoetida (hing),2 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato Bhakarwadi,3/4 cup plain flour (maida),1 tbsp ghee, salt to taste,"1 cup boiled , peeled and mashed potatoes",1/2 tbsp cornflour, salt to taste,1/2 cup grated coconut,1/2 tsp garam masala,2 tbsp chopped coriander (dhania),2 tsp finely chopped green chillies,1/2 tbsp sesame seeds (til), salt to taste, plain flour (maida) for rolling, oil for deep-frying,,,,,,,,,,,,,,,,,,,,,,,,
"Minty Sanwa, Sama Recipe",1 1/2 cups sanwa millet (sama),2 tbsp oil,3 cups coconut milk, rock salt  (sendha namak) to taste,4 tbsp chopped coriander (dhania),4 tbsp chopped fresh mint leaves (phudina),1/2 tbsp finely chopped green chillies,4 lemon wedges, yam raita or peanut kadhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabbage Ghughras,1/2 cup whole wheat flour (gehun ka atta),1 tbsp ghee, salt to taste, whole wheat flour (gehun ka atta) for rolling,2 cups finely chopped cabbage,1 tbsp oil,2 tsp finely chopped green chillies,1/2 tsp finely chopped ginger (adrak),2 tsp raisins (kismis),2 tbsp freshly grated coconut,2 tsp lemon juice,2 tsp sugar, salt to taste,2 tbsp finely chopped coriander (dhania), oil for deep-frying, green chutney,,,,,,,,,,,,,,,,,,,,,,
Kand Aloo Pakoda ( Faraal Recipe),1 cup parboiled and grated purple yam (kand),"1 cup raw potatoes  ,  peeled and grated",1 tbsp arrowroot (paniphal) flour,2 tsp roasted peanuts powder,2 tsp finely chopped coriander (dhania),1 tsp finely chopped green chillies, rock salt (sendha namak) to taste, oil for deep-frying, green chutney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banana Methi Thepla,1 cup whole wheat flour (gehun ka atta),1 tbsp besan (bengal gram flour),1/4 cup mashed ripe bananas,3/4 cup finely chopped fenugreek (methi),1/4 tsp turmeric powder (haldi),1/2 tsp chilli powder,1/4 tsp asafoetida (hing),2 tsp oil, salt to taste, oil for cooking, whole wheat flour (gehun ka atta) for rolling,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Layered Handva, Farali Handvo Recipe, Fasting Recipe, Vrat Recipe","1 cup peeled  ,  parboiled and grated purple yam (kand)",1 tsp finely chopped green chillies,2 tsp sugar,1 tsp lemon juice,1 tbsp arrowroot (paniphal) flour, rock salt  (sendha namak) to taste,1 cup thickly grated paneer (cottage cheese),1/4 cup green chutney, rock salt  (sendha namak) to taste,"1 cup peeled  ,  parboiled and grated potatoes",1 tsp finely chopped green chillies,2 tsp sugar,1 tsp lemon juice,1 tbsp arrowroot (paniphal) flour, rock salt  (sendha namak) to taste,1/2 tsp ghee for greasing,1 tbsp oil,1/2 tsp cumin seeds (jeera),1 tbsp sesame seeds (til), green chutney, peanut curd chutney,,,,,,,,,,,,,,,,,
Chapatis,1 cup whole wheat flour (gehun ka atta),1 tsp oil, salt to taste, whole wheat flour (gehun ka atta) for rolling, oil for kneading and cooking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mag Ni Dal ( Gujarati Recipe),1 cup yellow moong dal (split yellow gram),2 tbsp oil,1/2 tsp mustard seeds ( rai / sarson),1/4 tsp asafoetida (hing),1 tsp chilli powder,1/2 tsp turmeric powder (haldi),1 1/2 tsp coriander-cumin seeds (dhania-jeera) powder,1 tsp lemon juice,1/2 tsp sugar, salt to taste, puran poli, kadhi,,,,,,,,,,,,,,,,,,,,,,,,,,
Kand Na Dabada ( Gujarati Recipe),1/2 kg purple yam (kand), salt to taste,1 tsp oil for greasing,"1/4 cup roasted chana dal (daria) , coarsely crushed",1/4 cup chopped coriander (dhania),1 tbsp grated coconut,1/2 tbsp ginger-green chilli paste,1/2 tbsp lemon juice,1/2 tsp sugar,1/4 tsp asafoetida (hing),2 tsp oil, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,
Toovar Methi Na Dhokla ( Gujarati Recipe),2 cups toovar (arhar) dal,1 cup chopped fenugreek (methi) leaves,2 tbsp roughly chopped green chillies,2 tbsp curds (dahi),4 tbsp oil,1/2 tsp asafoetida (hing),2 tbsp besan (bengal gram flour),1 tsp sugar, salt to taste,2 tsp fruit salt,2 tbsp oil,1 1/2 tsp mustard seeds ( rai / sarson),1 tsp sesame seeds (til), a pinch of asafoetida (hing),2 tbsp finely chopped coriander (dhania),2 tbsp grated coconut, green chutney,,,,,,,,,,,,,,,,,,,,,
Palak and Doodhi Muthia,1 cup shredded spinach (palak),1 cup grated bottle gourd (doodhi / lauki),1/2 cup boiled sprouted moong (whole green gram),1/4 cup cooked rice (chawal),1/4 tsp turmeric powder (haldi),1/4 tsp asafoetida (hing),3 tbsp besan (bengal gram flour),2 tbsp oil, salt to taste,2 tsp green chilli paste,1/2 tsp sugar,1/4 tsp soda bi-carb, oil for greasing, dahiwali phudine ki chutney,,,,,,,,,,,,,,,,,,,,,,,,
"Batata Chi Bhaji ( Potato Vegetable, Aloo ki Subzi )",3 cups boiled potato cubes,2 tsp oil,2 tsp cumin seeds (jeera),4 to 5 curry leaves (kadi patta),"3 green chillies , slit green chillies",1 tbsp roasted and coarsely crushed peanuts, a pinch of sugar, salt to taste,1 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mango Shrikhand, Aamrakhand",3/4 cup fresh mango pulp,"2 cups hung curds (chakka dahi) , refer handy tip", a few saffron (kesar) strands,1 tbsp warm milk,1/2 cup powdered sugar,1/2 tsp cardamom (elaichi) powder, a pinch of nutmeg (jaiphal) powder,1 tbsp almond (badam) slivers,1 tbsp pistachio slivers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhavanagari Marcha,"1 cup bhavanagari chillies , cut into roundels",3/4 tsp oil,1/4 tsp asafoetida (hing), a pinch turmeric powder (haldi),1/4 tsp black salt (sanchal), salt to taste,1/4 tsp coriander (dhania) seeds powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soya Methi Dal Dhokli,1/2 cup toovar (arhar) dal,1 tsp oil,1 tsp ghee,1/4 tsp cumin seeds (jeera),1/4 tsp fenugreek (methi) seeds,5 to 6 curry leaves (kadi patta),2 cloves (laung / lavang),2 cinnamon (dalchini) sticks,1 bayleaf (tejpatta),1/4 tsp asafoetida (hing),4 kokum,1/2 cup chopped tomatoes,1/2 tsp turmeric powder (haldi),2 tsp ginger-green chilli paste, salt to taste,1/4 cup soya flour,3/4 cup chopped fenugreek (methi) leaves,3/4 cup whole wheat flour (gehun ka atta),1 tsp oil,1/2 tsp turmeric powder (haldi),1/2 tsp chilli powder,1/4 tsp asafoetida (hing), salt to taste, whole wheat flour (gehun ka atta) for rolling,2 tbsp finely chopped coriander (dhania),2 tbsp finely chopped onions,,,,,,,,,,,,
